id,battle background resource,encounter chance,min level,max level,species chances
1,forest,0.1,2,3,"10;10,13;10,401;10"
2,forest,0.1,2,3,"16;10,401;5,276;10,161;3"
3,forest,0.1,3,4,"21;10,276;10,13;10,16;10"
4,field,0.1,5,6,"23;3,16;5,265;10,278;10"
5,field,0.1,6,7,"60;3,98;10,86;7,183;7,278;4,418;4"
6,cave,0.05,6,7,"41;10,50;5,74;5"
7,cave,0.05,7,8,"27;5,41;5,50;10,66;10,81;5"
8,forest,0.1,10,13,"46;10,406;10,273;5,187;7"
9,forest,0.1,12,14,"102;5,307;10,96;10"
10,forest,0.1,14,15,"307;10,96;10,177;5,203;5"
11,forest,0.1,12,14,"69;10,114;10,187;7,193;4,415;1"
12,forest,0.1,14,15,"114;10,69;10,167;5"
13,forest,0.1,15,16,"397;3,167;6,267;6,48;10"
14,cave,0.05,8,9,"41;5,50;10,66;10,74;5"
15,indoor,0.05,7,8,"92;10,353;5,355;5"
16,field,0.1,16,17,"263;10,84;7,128;5,165;8,399;10,403;5,29;3,32;3"
17,field,0.1,17,18,"261;10,100;5,23;10,399;10,404;4"
18,field,0.1,18,19,"263;10,191;8,399;10,404;4,29;3,32;3"
19,field,0.1,19,20,"262;10,191;8,23;10,166;5,29;3,32;3"
20,field,0.1,18,19,"285;7,322;3,415;5,231;10,102;10,236;4"
21,field,0.1,21,22,"333;2,133;1,37;10,285;15,106;5,107;5,494;10"
22,field,0.1,19,20,"396;13,37;5,236;3,113;7,309;10"
23,field,0.1,20,21,"309;10,285;8,325;10,406;7,425;5,123;5,418;7"
24,forest,0.1,18,19,"54;5,278;10,261;7,434;5,274;5"
25,water,0.1,18,19,"278;5,339;7,223;7,211;7,98;10,194;7,129;15"
26,water,0.1,19,20,"278;5,349;1,456;10,370;10,318;10,222;10,129;15"
27,water,0.1,20,21,"278;5,366;5,341;10,170;10,118;10,72;13"
28,forest,0.1,19,20,"278;10,15;10,193;5,114;5,69;5"
29,forest,0.1,20,21,"278;10,15;10,193;5,163;5,167;5,404;5"
30,cave,0.1,21,23,"42;10,95;5,50;7,307;7,451;7,74;10,293;10,294;5,261;7"
31,cave,0.1,22,24,"42;10,422;10,451;7,74;10,220;4,92;2,104;7,72;5"
32,cave,0.1,22,24,"42;7,207;3,307;7,324;3,451;7,74;10,436;5,220;7,453;7"
